job_id,num_gpu,submit_time,iterations,model_name,duration,interval
0,1,40278,0,resnet50,2,0
1,1,33660,0,resnet152,3,0
2,4,33667,0,vgg11,7,0
3,4,33677,0,vgg11,8,0
4,4,33687,0,vgg11,8,0
5,4,33706,0,vgg11,6,0
6,1,14209,0,vgg11,3,0
7,1,14250,0,vgg11,3,0
8,1,14269,0,vgg11,3,0
9,1,14305,0,vgg11,3,0
10,1,14318,0,vgg11,3,0
11,1,14328,0,vgg11,3,0
12,1,14367,0,vgg11,3,0
13,1,14399,0,inception3,3,0
14,1,14406,0,inception3,3,0
15,1,14430,0,inception3,3,0
16,1,14514,0,inception3,3,0
17,1,30004,0,vgg19,444,0
18,1,30996,0,vgg19,3,0
19,1,29330,0,vgg19,1,0
20,1,24294,0,resnet101,5,0
21,1,24301,0,resnet101,3,0
22,1,24322,0,resnet101,20,0
23,1,33613,0,inception4,3,0
24,1,33981,0,inception4,3,0
25,1,34163,0,inception4,3,0
26,1,34724,0,inception4,3,0
27,8,35057,0,inception4,3,0
28,1,35061,0,inception4,3,0
29,1,39115,0,inception4,3,0
30,8,39135,0,inception4,4,0
31,1,39162,0,inception4,3,0
32,8,39330,0,inception4,5,0
33,1,39341,0,vgg16,3,0
34,1,40779,0,vgg16,3,0
35,1,42271,0,vgg16,3,0
36,1,42294,0,vgg16,3,0
37,8,42390,0,vgg16,5,0
38,8,42514,0,resnet50,4,0
39,8,42520,0,resnet50,7,0
40,8,42528,0,resnet50,15,0
41,1,42545,0,resnet50,3,0
42,1,42551,0,resnet50,4,0
43,1,42568,0,resnet152,3,0
44,1,42625,0,resnet152,3,0
45,1,42658,0,resnet152,3,0
46,1,42673,0,resnet152,3,0
47,1,42719,0,resnet152,3,0
48,1,42836,0,inception3,3,0
49,1,42869,0,resnet101,3,0
50,1,42878,0,alexnet,3,0
51,8,42883,0,alexnet,7,0
52,1,8931,0,resnet152,3,0
53,1,15398,0,alexnet,61,0
54,1,15465,0,alexnet,3,0
55,1,15469,0,alexnet,128,0
56,1,35955,0,vgg11,2,0
57,1,8858,0,resnet50,3,0
58,1,8863,0,resnet50,3,0
59,1,9543,0,vgg16,3,0
60,1,11253,0,vgg16,6,0
61,1,11260,0,vgg16,5,0
62,1,11278,0,vgg16,4,0
63,1,11337,0,vgg16,3,0
64,1,11570,0,vgg16,3,0
65,1,12473,0,vgg16,3,0
66,1,12480,0,vgg16,34,0
67,1,12676,0,vgg16,13,0
68,1,12690,0,vgg16,7,0
69,1,12701,0,vgg16,54,0
70,1,12756,0,vgg16,5,0
71,1,15396,0,vgg16,36,0
72,1,15434,0,resnet152,35,0
73,1,31360,0,resnet152,3,0
74,1,31608,0,resnet152,3,0
75,1,31616,0,resnet152,3,0
76,1,32550,0,resnet152,3,0
77,1,33907,0,resnet152,3,0
78,1,34231,0,resnet152,3,0
79,1,34252,0,resnet152,6,0
80,1,34446,0,resnet152,4,0
81,1,34513,0,resnet152,5,0
82,1,34525,0,resnet152,3,0
83,1,35414,0,vgg11,3,0
84,1,35458,0,vgg11,6,0
85,1,43133,0,vgg11,11,0
86,1,10789,0,vgg16,3,0
87,1,29369,0,alexnet,3,0
88,1,29390,0,resnet50,3,0
89,1,29395,0,resnet50,3,0
90,1,29424,0,resnet50,3,0
