job_id,num_gpu,submit_time,iterations,model_name,duration,interval
0,1,40530,0,resnet101,1,0
1,4,33912,0,inception4,1,0
2,4,33919,0,inception4,5,0
3,4,33929,0,inception4,6,0
4,4,33939,0,inception4,6,0
5,4,33958,0,vgg11,1,0
6,4,33960,0,vgg11,2,0
7,1,14460,0,vgg19,1,0
8,1,14501,0,vgg19,1,0
9,1,14520,0,vgg19,1,0
10,1,14556,0,inception3,1,0
11,1,14569,0,inception3,1,0
12,1,14579,0,inception3,1,0
13,1,14618,0,inception3,1,0
14,1,14650,0,inception3,1,0
15,1,14657,0,inception3,1,0
16,1,14681,0,inception3,1,0
17,1,14765,0,inception3,1,0
18,1,30256,0,resnet152,442,0
19,1,31247,0,inception4,2,0
20,1,24545,0,resnet50,3,0
21,1,24552,0,resnet50,1,0
22,1,24573,0,resnet50,18,0
23,8,33864,0,resnet50,2,0
24,8,34232,0,resnet50,2,0
25,8,34414,0,resnet50,2,0
26,8,34975,0,resnet50,2,0
27,8,35308,0,resnet50,2,0
28,8,35312,0,inception3,2,0
29,8,39366,0,inception3,2,0
30,8,39386,0,inception3,3,0
31,8,39413,0,inception3,2,0
32,8,39581,0,inception3,2,0
33,8,39583,0,inception3,2,0
34,8,39592,0,inception3,2,0
35,8,41030,0,inception3,2,0
36,8,42522,0,inception3,2,0
37,8,42545,0,inception3,2,0
38,8,42641,0,inception3,4,0
39,8,42765,0,inception3,3,0
40,8,42771,0,inception3,3,0
41,8,42775,0,inception3,2,0
42,8,42779,0,inception3,3,0
43,8,42782,0,inception3,2,0
44,8,42785,0,inception3,2,0
45,8,42788,0,inception3,5,0
46,8,42796,0,inception3,2,0
47,8,42802,0,inception3,3,0
48,8,42819,0,inception3,2,0
49,8,42876,0,inception3,2,0
50,8,42909,0,inception3,2,0
51,8,42924,0,inception3,2,0
52,8,42970,0,inception3,2,0
53,8,43088,0,inception3,1,0
54,8,43121,0,resnet101,1,0
55,8,43130,0,resnet101,1,0
56,8,43135,0,resnet101,1,0
57,8,43138,0,resnet101,2,0
58,1,9183,0,resnet101,1,0
59,1,15649,0,vgg16,33,0
60,1,15682,0,vgg16,27,0
61,1,15716,0,vgg16,2,0
62,1,15720,0,vgg16,8,0
63,1,15728,0,vgg16,24,0
64,1,15752,0,vgg16,95,0
65,1,9109,0,resnet152,1,0
66,1,9114,0,inception4,1,0
67,1,9794,0,inception4,1,0
68,1,11504,0,inception4,5,0
69,1,11511,0,inception4,2,0
70,1,11513,0,inception4,2,0
71,1,11529,0,inception4,3,0
72,1,11588,0,inception4,2,0
73,1,11821,0,resnet101,2,0
74,1,12724,0,resnet101,1,0
75,1,12731,0,resnet101,4,0
76,1,12736,0,resnet101,5,0
77,1,12742,0,resnet101,2,0
78,1,12745,0,vgg19,4,0
79,1,12750,0,vgg19,4,0
80,1,12756,0,vgg11,2,0
81,1,12760,0,vgg11,3,0
82,1,12927,0,vgg11,4,0
83,1,12933,0,vgg11,5,0
84,1,12941,0,resnet101,3,0
85,1,12945,0,resnet101,1,0
86,1,12952,0,vgg16,2,0
87,1,12955,0,resnet152,7,0
88,1,12963,0,resnet152,7,0
89,1,12971,0,resnet50,3,0
90,1,12975,0,resnet50,5,0
91,1,12981,0,resnet50,4,0
92,1,12987,0,resnet50,1,0
93,1,12990,0,resnet50,2,0
94,1,12993,0,resnet50,3,0
95,1,12998,0,resnet50,2,0
96,1,13001,0,resnet50,1,0
97,1,13003,0,resnet50,1,0
98,1,13007,0,resnet50,3,0
99,1,15647,0,resnet50,2,0
100,1,15649,0,resnet50,2,0
101,1,15651,0,resnet50,5,0
102,1,15656,0,resnet50,5,0
103,1,15661,0,resnet50,4,0
104,1,15665,0,vgg11,8,0
105,1,15673,0,vgg11,2,0
106,1,15675,0,inception4,2,0
107,1,15678,0,inception4,2,0
108,1,15680,0,inception4,2,0
109,1,15685,0,inception4,4,0
110,1,15689,0,inception4,2,0
111,1,15691,0,inception4,2,0
112,1,15693,0,inception4,5,0
113,1,15698,0,inception4,6,0
114,1,15704,0,inception4,2,0
115,1,15706,0,inception4,8,0
116,1,15714,0,inception4,3,0
117,1,15717,0,inception4,2,0
118,1,31611,0,inception4,1,0
119,1,31859,0,inception4,1,0
120,1,31867,0,inception4,1,0
121,1,32801,0,inception4,1,0
122,1,34158,0,inception4,2,0
123,1,34482,0,inception4,2,0
124,1,34503,0,inception4,2,0
125,1,34506,0,inception4,2,0
126,1,34697,0,inception4,3,0
127,1,34764,0,inception4,2,0
128,1,34766,0,inception4,2,0
129,1,34776,0,inception4,2,0
130,1,35665,0,inception4,2,0
131,1,35709,0,inception4,2,0
132,1,35712,0,resnet50,2,0
133,8,11040,0,resnet50,1,0
134,8,29620,0,resnet50,2,0
135,8,29641,0,resnet50,2,0
136,8,29646,0,resnet50,2,0
137,8,29675,0,resnet50,2,0
138,8,29682,0,vgg19,2,0
139,8,29686,0,vgg19,2,0
140,8,29753,0,vgg19,2,0
141,8,29756,0,vgg19,2,0
142,8,29762,0,vgg19,2,0
143,8,29878,0,inception4,2,0
144,8,29915,0,inception4,2,0
145,8,29918,0,inception4,2,0
146,8,29930,0,inception4,2,0
147,8,29933,0,inception4,2,0
148,8,30511,0,inception4,2,0
149,8,30521,0,inception4,2,0
150,8,30529,0,inception4,2,0
151,8,30531,0,inception4,3,0
152,8,30534,0,inception4,2,0
153,8,30547,0,inception4,3,0
154,8,30550,0,inception4,4,0
155,8,30556,0,inception4,2,0
156,8,30586,0,inception4,2,0
157,8,30607,0,resnet101,2,0
158,8,30612,0,resnet101,2,0
159,8,30625,0,inception4,2,0
160,8,30627,0,inception4,2,0
161,8,30630,0,resnet152,2,0
162,8,30633,0,resnet152,2,0
163,8,30643,0,resnet152,2,0
164,8,30653,0,resnet152,2,0
165,8,30657,0,resnet152,3,0
166,8,30687,0,vgg11,2,0
167,8,30911,0,alexnet,4,0
168,8,30916,0,alexnet,2,0
